variant,variant_label,turn_difficulty,turn_difficulty_label,grid_level,subdivision,visual_condition,visual_condition_label,n_runs,n_rows,mean_turn_count,mean_precision,std_precision,sample_std_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
L0_grid,L0: Grid,medium,Medium (2 turns),0.0,1.0,grid,Grid,12,12,2.0,0.958325,0.07218321740543295,0.07539291171166979,0.8333,1.0,0.9570666666666666,0.06453948834283979,0.06740929708380981,0.8333,1.0,0.9567083333333334,0.06183451649811417,0.06458404613487384,0.8333,1.0,0.9570666666666666,0.06453948834283979,0.06740929708380981,0.8333,1.0,0.5833333333333334,0.4930066485916347,0.5149286505444373,0.0,1.0,0.04293333333333333,0.0645394883428398,0.06740929708380984,0.0,0.1667,0.041675,0.07218321740543295,0.07539291171166979,0.0,0.1667,4,0.039291566807932485,0.030358451138942436,0.03596816493635571,0.030358451138942436,0.35355339059327373,0.030358451138942436,0.039291566807932485
L0_grid,L0: Grid,hard,Hard (3 turns),0.0,1.0,grid,Grid,15,15,3.0,0.9074466666666666,0.14589316578312447,0.15101377357553789,0.6154,1.0,0.9000799999999999,0.1136006467117742,0.11758784072222045,0.7273,1.0,0.89218,0.09623845523836441,0.09961626516645908,0.7059,1.0,0.9000799999999999,0.1136006467117742,0.11758784072222045,0.7273,1.0,0.3333333333333333,0.47140452079103173,0.48795003647426666,0.0,1.0,0.09992,0.1136006467117742,0.11758784072222045,0.0,0.2727,0.09255333333333333,0.14589316578312445,0.15101377357553789,0.0,0.3846,5,0.018309351587523677,0.04242640687119287,0.02245771137048475,0.04242640687119287,0.09428090415820634,0.042426406871192854,0.018309351587523674
L0_grid,L0: Grid,very_hard,Very hard (>3 turns),0.0,1.0,grid,Grid,17,17,4.176470588235294,1.0,0.0,0.0,1.0,1.0,0.9820294117647059,0.032915234532961524,0.03392824716784458,0.9167,1.0,0.9906411764705884,0.017159667445822216,0.017687780344899453,0.9565,1.0,0.9820294117647059,0.032915234532961524,0.03392824716784458,0.9167,1.0,0.7647058823529411,0.42418250299576343,0.43723731609760313,0.0,1.0,0.017970588235294117,0.03291523453296151,0.03392824716784457,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,6,0.0,0.004633333333333332,0.0023833333333333298,0.004633333333333332,0.08333333333333333,0.004633333333333333,0.0
L1_grid,L1: Grid,easy,Easy (1 turn),1.0,2.0,grid,Grid,15,15,1.0,0.8857733333333332,0.21647299898345035,0.2240708416890473,0.4545,1.0,0.7434733333333334,0.13408984782185746,0.13879617875898184,0.5833,0.9,0.7984866666666668,0.16013316486252585,0.16575357297018048,0.5128,0.9474,0.7434733333333334,0.13408984782185746,0.13879617875898184,0.5833,0.9,0.0,0.0,0.0,0.0,0.0,0.2565266666666666,0.13408984782185746,0.13879617875898184,0.1,0.4167,0.11422666666666667,0.21647299898345032,0.22407084168904728,0.0,0.5455,5,0.007250201529766076,0.013755583916682296,0.009500918956143689,0.013755583916682296,0.0,0.013755583916682312,0.007250201529766067
L1_grid,L1: Grid,medium,Medium (2 turns),1.0,2.0,grid,Grid,12,12,2.0,0.984125,0.040478371282286874,0.0422782799383496,0.8571,1.0,0.9318166666666667,0.08041387559923278,0.08398955382376518,0.8,1.0,0.9546,0.04476587241787356,0.04675642882389154,0.8889,1.0,0.9318166666666667,0.08041387559923278,0.08398955382376518,0.8,1.0,0.4166666666666667,0.4930066485916347,0.5149286505444373,0.0,1.0,0.06818333333333333,0.08041387559923281,0.08398955382376522,0.0,0.2,0.015875,0.040478371282286874,0.04227827993834961,0.0,0.1429,4,0.022450640302672884,0.025952186543345225,0.023843907988244716,0.025952186543345225,0.11785113019775792,0.025952186543345232,0.022450640302672884
L1_grid,L1: Grid,hard,Hard (3 turns),1.0,2.0,grid,Grid,15,15,3.0,0.7765199999999999,0.1747182463281955,0.1808505665696722,0.4565,1.0,0.67472,0.20924532714814287,0.21658949057738563,0.2632,1.0,0.6882666666666667,0.13990933572218198,0.1448199210185171,0.3846,0.9333,0.67472,0.20924532714814287,0.21658949057738563,0.2632,1.0,0.0,0.0,0.0,0.0,0.0,0.32528000000000007,0.2092453271481429,0.2165894905773857,0.0,0.7368,0.22347999999999998,0.1747182463281955,0.1808505665696722,0.0,0.5435,5,0.034404123725140914,0.08457231810277852,0.06016260935999671,0.08457231810277852,0.0,0.08457231810277852,0.0344041237251409
L1_grid,L1: Grid,very_hard,Very hard (>3 turns),1.0,2.0,grid,Grid,17,17,4.176470588235294,0.9374294117647058,0.06875229848312565,0.07086824716247998,0.75,1.0,0.852464705882353,0.08362537569546467,0.0861990642435902,0.6957,0.9565,0.8909764705882353,0.06764618618362983,0.06972809270132595,0.75,0.9778,0.852464705882353,0.08362537569546467,0.0861990642435902,0.6957,0.9565,0.0,0.0,0.0,0.0,0.0,0.14753529411764704,0.08362537569546467,0.0861990642435902,0.0435,0.3043,0.06257058823529413,0.06875229848312565,0.07086824716247998,0.0,0.25,6,0.031374049725194204,0.04230379024078465,0.03647921214620187,0.04230379024078465,0.0,0.04230379024078466,0.03137404972519419
L2_grid,L2: Grid,easy,Easy (1 turn),2.0,4.0,grid,Grid,15,15,1.0,0.97778,0.08313962713411699,0.08605768995272882,0.6667,1.0,0.4396666666666667,0.29103467987318776,0.3012495137320715,0.0588,0.8824,0.55266,0.2905618483788492,0.3007600866376483,0.1081,0.9375,0.4396666666666667,0.29103467987318776,0.3012495137320715,0.0588,0.8824,0.0,0.0,0.0,0.0,0.0,0.5603333333333332,0.29103467987318776,0.3012495137320715,0.1176,0.9412,0.02222,0.08313962713411698,0.0860576899527288,0.0,0.3333,5,0.03142382535593018,0.025778156416183983,0.020830268476923534,0.025778156416183983,0.0,0.025778156416184046,0.03142382535593018
L2_grid,L2: Grid,medium,Medium (2 turns),2.0,4.0,grid,Grid,12,12,2.0,0.9183583333333334,0.09453748338034439,0.09874118104080655,0.6957,1.0,0.7811750000000001,0.19757798934851015,0.2063634795253709,0.4773,1.0,0.8252250000000001,0.12627926805959347,0.13189439387769156,0.6462,1.0,0.7811750000000001,0.19757798934851015,0.2063634795253709,0.4773,1.0,0.16666666666666666,0.3726779962499649,0.38924947208076144,0.0,1.0,0.21882500000000002,0.19757798934851017,0.20636347952537093,0.0,0.5227,0.08164166666666667,0.09453748338034437,0.09874118104080655,0.0,0.3043,4,0.06548109608123279,0.05482434576799698,0.02939408373115844,0.05482434576799698,0.11785113019775792,0.05482434576799698,0.06548109608123279
L2_grid,L2: Grid,hard,Hard (3 turns),2.0,4.0,grid,Grid,15,15,3.0,0.60282,0.2214757569878323,0.22924918818986972,0.1333,1.0,0.4416333333333334,0.23458132254910855,0.2428147373341797,0.0465,0.88,0.48012666666666665,0.2092051543873196,0.2165479078193839,0.069,0.7692,0.4416333333333334,0.23458132254910855,0.2428147373341797,0.0465,0.88,0.0,0.0,0.0,0.0,0.0,0.5583666666666666,0.23458132254910852,0.24281473733417966,0.12,0.9535,0.39718000000000003,0.22147575698783228,0.2292491881898697,0.0,0.8667,5,0.13138889229353823,0.1463090068366421,0.12035277709321864,0.1463090068366421,0.0,0.1463090068366421,0.13138889229353823
